报文种类,报文标识号,付款人帐号,付款人名称,收款行行号,收款行名称,收款人帐号,收款人名称,金额
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,85.92
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,4611.06
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,40677.9
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,2349.09
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,1637.5
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,10220.93
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,20.6
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,46.5
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,20936.43
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连长海广鹿分理处,481106001,广鹿岛待处理税款户,962.71
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,3517.74
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,108.5
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,54.36
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,3353715.59
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,314.29
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,2162.65
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,3931.33
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,69644.18
